Punto,Lat,Long
"146",6.54641011,-73.9304227000001
"147",6.54641011,-73.9296974600001
"148",6.54641011,-73.9289722200001
"149",6.54641011,-73.9282469800001
"150",6.54641011,-73.9275217400001
"151",6.54641011,-73.9267965000002
"152",6.54641011,-73.9260712600002
"153",6.54641011,-73.9253460200002
"154",6.54641011,-73.9246207800002
"155",6.54641011,-73.9238955400002
"156",6.54641011,-73.9231703000002
"157",6.54641011,-73.9224450600002
"158",6.54641011,-73.9217198200002
"159",6.54641011,-73.9209945800002
"160",6.54641011,-73.9202693400002
"161",6.54641011,-73.9195441000002
"162",6.54641011,-73.9188188600002
"163",6.54641011,-73.9180936200002
"164",6.54641011,-73.9173683800002
"165",6.54641011,-73.9166431400002
"166",6.54641011,-73.9159179000002
"167",6.54641011,-73.9151926600002
"168",6.54641011,-73.9144674200002
"169",6.54641011,-73.9137421800003
"170",6.54641011,-73.9130169400003
"171",6.54641011,-73.9122917000003
"172",6.54641011,-73.9115664600003
"173",6.54641011,-73.9108412200003
"174",6.54641011,-73.9101159800003
"175",6.54641011,-73.9093907400003
"176",6.54641011,-73.9086655000003
"177",6.54641011,-73.9079402600003
"178",6.54641011,-73.9072150200003
"179",6.54641011,-73.9064897800003
"180",6.54641011,-73.9057645400003
"181",6.54641011,-73.9050393000003
"182",6.54641011,-73.9043140600003
"183",6.54641011,-73.9035888200003
"184",6.54641011,-73.9028635800003
"185",6.54641011,-73.9021383400003
"186",6.54641011,-73.9014131000004
"187",6.54641011,-73.9006878600004
"188",6.54641011,-73.8999626200004
"189",6.544687665,-73.9449275
"190",6.544687665,-73.94420226
"191",6.544687665,-73.94347702
"192",6.544687665,-73.94275178
"193",6.544687665,-73.94202654
"194",6.544687665,-73.9413013
"195",6.544687665,-73.94057606
"196",6.544687665,-73.93985082
"197",6.544687665,-73.9391255800001
"198",6.544687665,-73.9384003400001
"199",6.544687665,-73.9376751000001
"200",6.544687665,-73.9369498600001
"201",6.544687665,-73.9362246200001
"202",6.544687665,-73.9354993800001
"203",6.544687665,-73.9347741400001
"204",6.544687665,-73.9340489000001
"205",6.544687665,-73.9333236600001
"206",6.544687665,-73.9325984200001
"207",6.544687665,-73.9318731800001
"208",6.544687665,-73.9311479400001
"209",6.544687665,-73.9304227000001
"210",6.544687665,-73.9296974600001
"211",6.544687665,-73.9289722200001
"212",6.544687665,-73.9282469800001
"213",6.544687665,-73.9275217400001
"214",6.544687665,-73.9267965000002
"215",6.544687665,-73.9260712600002
"216",6.544687665,-73.9253460200002
"217",6.544687665,-73.9246207800002
"218",6.544687665,-73.9238955400002
"219",6.544687665,-73.9231703000002
"220",6.544687665,-73.9224450600002
"221",6.544687665,-73.9217198200002
"222",6.544687665,-73.9209945800002
"223",6.544687665,-73.9202693400002
"224",6.544687665,-73.9195441000002
"225",6.544687665,-73.9188188600002
"226",6.544687665,-73.9180936200002
"227",6.544687665,-73.9173683800002
"228",6.544687665,-73.9166431400002
"229",6.544687665,-73.9159179000002
"230",6.544687665,-73.9151926600002
"231",6.544687665,-73.9144674200002
"232",6.544687665,-73.9137421800003
"233",6.544687665,-73.9130169400003
"234",6.544687665,-73.9122917000003
"235",6.544687665,-73.9115664600003
"236",6.544687665,-73.9108412200003
"237",6.544687665,-73.9101159800003
"238",6.544687665,-73.9093907400003
"239",6.544687665,-73.9086655000003
"240",6.544687665,-73.9079402600003
"241",6.544687665,-73.9072150200003
"242",6.544687665,-73.9064897800003
"243",6.544687665,-73.9057645400003
"244",6.544687665,-73.9050393000003
"245",6.544687665,-73.9043140600003
"246",6.544687665,-73.9035888200003
"247",6.544687665,-73.9028635800003
"248",6.544687665,-73.9021383400003
"249",6.544687665,-73.9014131000004
"250",6.544687665,-73.9006878600004
"251",6.544687665,-73.8999626200004
"252",6.54296522,-73.9449275
"253",6.54296522,-73.94420226
"254",6.54296522,-73.94347702
"255",6.54296522,-73.94275178
"256",6.54296522,-73.94202654
"257",6.54296522,-73.9413013
"258",6.54296522,-73.94057606
"259",6.54296522,-73.93985082
"260",6.54296522,-73.9391255800001
"261",6.54296522,-73.9384003400001
"262",6.54296522,-73.9376751000001
"263",6.54296522,-73.9369498600001
"264",6.54296522,-73.9362246200001
"265",6.54296522,-73.9354993800001
"266",6.54296522,-73.9347741400001
"267",6.54296522,-73.9340489000001
"268",6.54296522,-73.9333236600001
"269",6.54296522,-73.9325984200001
"270",6.54296522,-73.9318731800001
"271",6.54296522,-73.9311479400001
"272",6.54296522,-73.9304227000001
"273",6.54296522,-73.9296974600001
"274",6.54296522,-73.9289722200001
"275",6.54296522,-73.9282469800001
"276",6.54296522,-73.9275217400001
"277",6.54296522,-73.9267965000002
"278",6.54296522,-73.9260712600002
"279",6.54296522,-73.9253460200002
"280",6.54296522,-73.9246207800002
"281",6.54296522,-73.9238955400002
"282",6.54296522,-73.9231703000002
"283",6.54296522,-73.9224450600002
"284",6.54296522,-73.9217198200002
"285",6.54296522,-73.9209945800002
"286",6.54296522,-73.9202693400002
"287",6.54296522,-73.9195441000002
"288",6.54296522,-73.9188188600002
"289",6.54296522,-73.9180936200002
"290",6.54296522,-73.9173683800002
"291",6.54296522,-73.9166431400002
"292",6.54296522,-73.9159179000002
"293",6.54296522,-73.9151926600002
"294",6.54296522,-73.9144674200002
"295",6.54296522,-73.9137421800003
"296",6.54296522,-73.9130169400003
"297",6.54296522,-73.9122917000003
"298",6.54296522,-73.9115664600003
"299",6.54296522,-73.9108412200003
"300",6.54296522,-73.9101159800003
"301",6.54296522,-73.9093907400003
