Punto,Lat,Long
"147",6.53389971999999,-73.943205055
"148",6.53317447999999,-73.943205055
"149",6.53244923999999,-73.943205055
"150",6.53172399999999,-73.943205055
"151",6.53099875999999,-73.943205055
"152",6.53027351999999,-73.943205055
"153",6.52954827999999,-73.943205055
"154",6.52882303999999,-73.943205055
"155",6.52809779999999,-73.943205055
"156",6.52737255999999,-73.943205055
"157",6.52664731999999,-73.943205055
"158",6.52592207999999,-73.943205055
"159",6.52519683999999,-73.943205055
"160",6.52447159999999,-73.943205055
"161",6.52374635999999,-73.943205055
"162",6.52302111999999,-73.943205055
"163",6.52229587999998,-73.943205055
"164",6.52157063999998,-73.943205055
"165",6.52084539999998,-73.943205055
"166",6.52012015999998,-73.943205055
"167",6.51939491999998,-73.943205055
"168",6.51866967999998,-73.943205055
"169",6.51794443999998,-73.943205055
"170",6.51721919999998,-73.943205055
"171",6.51649395999998,-73.943205055
"172",6.51576871999998,-73.943205055
"173",6.51504347999998,-73.943205055
"174",6.51431823999998,-73.943205055
"175",6.51359299999998,-73.943205055
"176",6.51286775999998,-73.943205055
"177",6.51214251999998,-73.943205055
"178",6.51141727999998,-73.943205055
"179",6.51069203999998,-73.943205055
"180",6.50996679999998,-73.943205055
"181",6.50924155999998,-73.943205055
"182",6.50851631999998,-73.943205055
"183",6.50779107999998,-73.943205055
"184",6.50706583999998,-73.943205055
"185",6.50634059999998,-73.943205055
"186",6.50561535999998,-73.943205055
"187",6.50489011999997,-73.943205055
"188",6.50416487999997,-73.943205055
"189",6.50343963999997,-73.943205055
"190",6.50271439999997,-73.943205055
"191",6.50198915999997,-73.943205055
"192",6.50126391999997,-73.943205055
"193",6.50053867999997,-73.943205055
"194",6.49981343999997,-73.943205055
"195",6.49908819999997,-73.943205055
"196",6.49836295999997,-73.943205055
"197",6.49763771999997,-73.943205055
"198",6.49691247999997,-73.943205055
"199",6.49618723999997,-73.943205055
"200",6.49546199999997,-73.943205055
"201",6.49473675999997,-73.943205055
"202",6.49401151999997,-73.943205055
"203",6.49328627999997,-73.943205055
"204",6.49256103999997,-73.943205055
"205",6.49183579999997,-73.943205055
"206",6.49111055999997,-73.943205055
"207",6.49038531999997,-73.943205055
"208",6.48966007999997,-73.943205055
"209",6.48893483999997,-73.943205055
"210",6.48820959999997,-73.943205055
"211",6.48748435999997,-73.943205055
"212",6.48675911999996,-73.943205055
"213",6.48603387999996,-73.943205055
"214",6.48530863999996,-73.943205055
"215",6.48458339999996,-73.943205055
"216",6.48385815999996,-73.943205055
"217",6.48313291999996,-73.943205055
"218",6.48240767999996,-73.943205055
"219",6.48168243999996,-73.943205055
"220",6.48095719999996,-73.943205055
"221",6.48023195999996,-73.943205055
"222",6.47950671999996,-73.943205055
"223",6.47878147999996,-73.943205055
"224",6.47805623999996,-73.943205055
"225",6.47733099999996,-73.943205055
"226",6.47660575999996,-73.943205055
"227",6.47588051999996,-73.943205055
"228",6.47515527999996,-73.943205055
"229",6.47443003999996,-73.943205055
"230",6.47370479999996,-73.943205055
"231",6.47297955999996,-73.943205055
"232",6.47225431999996,-73.943205055
"233",6.47152907999996,-73.943205055
"234",6.47080383999996,-73.943205055
"235",6.47007859999996,-73.943205055
"236",6.46935335999996,-73.943205055
"237",6.46862811999995,-73.943205055
"238",6.46790287999995,-73.943205055
"239",6.46717763999995,-73.943205055
"240",6.46645239999995,-73.943205055
"241",6.46572715999995,-73.943205055
"242",6.46500191999995,-73.943205055
"243",6.46427667999995,-73.943205055
"244",6.46355143999995,-73.943205055
"245",6.46282619999995,-73.943205055
"246",6.46210095999995,-73.943205055
"247",6.46137571999995,-73.943205055
"248",6.46065047999995,-73.943205055
"249",6.45992523999995,-73.943205055
"250",6.549855,-73.94148261
"251",6.54912976,-73.94148261
"252",6.54840452,-73.94148261
"253",6.54767928,-73.94148261
"254",6.54695404,-73.94148261
"255",6.5462288,-73.94148261
"256",6.54550356,-73.94148261
"257",6.54477832,-73.94148261
"258",6.54405308,-73.94148261
"259",6.54332784,-73.94148261
"260",6.5426026,-73.94148261
"261",6.54187736,-73.94148261
"262",6.54115212,-73.94148261
"263",6.54042687999999,-73.94148261
"264",6.53970163999999,-73.94148261
"265",6.53897639999999,-73.94148261
"266",6.53825115999999,-73.94148261
"267",6.53752591999999,-73.94148261
"268",6.53680067999999,-73.94148261
"269",6.53607543999999,-73.94148261
"270",6.53535019999999,-73.94148261
"271",6.53462495999999,-73.94148261
"272",6.53389971999999,-73.94148261
"273",6.53317447999999,-73.94148261
"274",6.53244923999999,-73.94148261
"275",6.53172399999999,-73.94148261
"276",6.53099875999999,-73.94148261
"277",6.53027351999999,-73.94148261
"278",6.52954827999999,-73.94148261
"279",6.52882303999999,-73.94148261
"280",6.52809779999999,-73.94148261
"281",6.52737255999999,-73.94148261
"282",6.52664731999999,-73.94148261
"283",6.52592207999999,-73.94148261
"284",6.52519683999999,-73.94148261
"285",6.52447159999999,-73.94148261
"286",6.52374635999999,-73.94148261
"287",6.52302111999999,-73.94148261
"288",6.52229587999998,-73.94148261
"289",6.52157063999998,-73.94148261
"290",6.52084539999998,-73.94148261
"291",6.52012015999998,-73.94148261
"292",6.51939491999998,-73.94148261
"293",6.51866967999998,-73.94148261
"294",6.51794443999998,-73.94148261
"295",6.51721919999998,-73.94148261
"296",6.51649395999998,-73.94148261
"297",6.51576871999998,-73.94148261
"298",6.51504347999998,-73.94148261
"299",6.51431823999998,-73.94148261
"300",6.51359299999998,-73.94148261
"301",6.51286775999998,-73.94148261
"302",6.51214251999998,-73.94148261
"303",6.51141727999998,-73.94148261
