distance_deg,P,S,PcP,PKP,SKS
138.8778,,,,,1590.9868
139.2385,,,,,1591.7878
139.5992,,,,,1592.5807
139.9599,,,,,1593.3661
140.3206,,,,,1594.1434
140.6814,,,,,1594.9123
141.0421,,,,,1595.6727
141.4028,,,,,1596.4244
141.7635,,,,,
142.1242,,,,,
142.4850,,,,,
142.8457,,,,,
143.2064,,,,,
143.5671,,,,,
143.9279,,,,,
144.2886,,,,,
144.6493,,,,,
145.0100,,,,1169.6452,
145.3707,,,,1170.8134,
145.7315,,,,1171.9352,
146.0922,,,,1173.0227,
146.4529,,,,1174.0810,
146.8136,,,,1175.1156,
147.1743,,,,1176.1255,
147.5351,,,,1177.1146,
147.8958,,,,1178.0834,
148.2565,,,,1179.0325,
148.6172,,,,1179.9616,
148.9780,,,,1180.8741,
149.3387,,,,1181.7688,
149.6994,,,,1182.6460,
150.0601,,,,1183.5061,
150.4208,,,,1184.3514,
150.7816,,,,1185.1803,
151.1423,,,,1185.9938,
151.5030,,,,1186.7912,
151.8637,,,,1187.5752,
152.2244,,,,1188.3444,
152.5852,,,,1189.0979,
152.9459,,,,1201.2544,
153.3066,,,,1202.7680,
153.6673,,,,1204.2853,
154.0281,,,,1205.8060,
154.3888,,,,1207.3301,
154.7495,,,,1208.8575,
155.1102,,,,1210.3879,
155.4709,,,,1211.9214,
155.8317,,,,1213.4578,
156.1924,,,,1214.9969,
156.5531,,,,1216.5387,
156.9138,,,,1218.0830,
157.2745,,,,1219.6297,
157.6353,,,,1221.1788,
157.9960,,,,1222.7302,
158.3567,,,,1224.2838,
158.7174,,,,1225.8394,
159.0782,,,,1227.3971,
159.4389,,,,1228.9567,
159.7996,,,,1230.5182,
160.1603,,,,1232.0815,
160.5210,,,,1233.6464,
160.8818,,,,1235.2131,
161.2425,,,,1236.7813,
161.6032,,,,1238.3511,
161.9639,,,,1239.9224,
162.3246,,,,1241.4950,
162.6854,,,,1243.0691,
163.0461,,,,1244.6444,
163.4068,,,,1246.2210,
163.7675,,,,1247.7988,
164.1283,,,,1249.3777,
164.4890,,,,1250.9578,
164.8497,,,,1252.5389,
165.2104,,,,1254.1211,
165.5711,,,,1255.7042,
165.9319,,,,1257.2883,
166.2926,,,,1258.8732,
166.6533,,,,1260.4590,
167.0140,,,,1262.0457,
167.3747,,,,1263.6331,
167.7355,,,,1265.2212,
168.0962,,,,1266.8100,
168.4569,,,,1268.3995,
168.8176,,,,1269.9897,
169.1784,,,,1271.5805,
169.5391,,,,1273.1718,
169.8998,,,,1274.7637,
170.2605,,,,1276.3562,
170.6212,,,,1277.9490,
170.9820,,,,1279.5424,
171.3427,,,,1281.1362,
171.7034,,,,1282.7303,
172.0641,,,,1284.3249,
172.4248,,,,1285.9198,
172.7856,,,,1287.5149,
173.1463,,,,1289.1104,
173.5070,,,,1290.7062,
173.8677,,,,1292.3022,
174.2285,,,,1293.8983,
174.5892,,,,1295.4949,
174.9499,,,,1297.0913,
175.3106,,,,1298.6882,
175.6713,,,,1300.2848,
176.0321,,,,1301.8818,
176.3928,,,,1303.4789,
176.7535,,,,1305.0760,
177.1142,,,,1306.6730,
177.4749,,,,1308.2699,
177.8357,,,,1309.8669,
178.1964,,,,,
178.5571,,,,,
178.9178,,,,,
179.2786,,,,,
179.6393,,,,,
180.0000,,,,,
