id,lat,lon,E,N
223,6.47878148,-73.94320506,616855.3036950508,716252.1967223223
224,6.47805624,-73.94320506,616855.4705845561,716172.0122820387
225,6.477331,-73.94320506,616855.6374554537,716091.8278439627
226,6.47660576,-73.94320506,616855.8043077437,716011.6434080936
227,6.47588052,-73.94320506,616855.9711414258,715931.4589744313
228,6.47515528,-73.94320506,616856.1379565002,715851.2745429756
229,6.47443004,-73.94320506,616856.3047529666,715771.0901137261
230,6.4737048,-73.94320506,616856.4715308254,715690.9056866829
231,6.47297956,-73.94320506,616856.6382900762,715610.7212618453
232,6.47225432,-73.94320506,616856.8050307191,715530.5368392135
233,6.47152908,-73.94320506,616856.9717527542,715450.3524187868
234,6.47080384,-73.94320506,616857.1384561813,715370.1680005655
235,6.4700786,-73.94320506,616857.3051410005,715289.9835845489
236,6.46935336,-73.94320506,616857.4718072116,715209.799170737
237,6.46862812,-73.94320506,616857.6384548148,715129.6147591296
238,6.46790288,-73.94320506,616857.8050838099,715049.430349726
239,6.46717764,-73.94320506,616857.971694197,714969.2459425265
240,6.4664524,-73.94320506,616858.1382859759,714889.0615375305
241,6.46572716,-73.94320506,616858.3048591467,714808.8771347381
242,6.46500192,-73.94320506,616858.4714137095,714728.6927341487
243,6.46427668,-73.94320506,616858.637949664,714648.5083357623
244,6.46355144,-73.94320506,616858.8044670104,714568.3239395787
245,6.4628262,-73.94320506,616858.9709657487,714488.1395455974
246,6.46210096,-73.94320506,616859.1374458785,714407.9551538184
247,6.46137572,-73.94320506,616859.3039074001,714327.7707642412
248,6.46065048,-73.94320506,616859.4703503135,714247.5863768657
249,6.45992524,-73.94320506,616859.6367746185,714167.4019916918
250,6.549855,-73.94148261,617029.3129266234,724110.6836928332
251,6.54912976,-73.94148261,617029.4819146993,724030.4989914197
252,6.54840452,-73.94148261,617029.6508841396,723950.314292237
253,6.54767928,-73.94148261,617029.8198349443,723870.129595285
254,6.54695404,-73.94148261,617029.9887671134,723789.9449005632
255,6.5462288,-73.94148261,617030.1576806467,723709.7602080718
256,6.54550356,-73.94148261,617030.3265755445,723629.5755178103
257,6.54477832,-73.94148261,617030.4954518067,723549.3908297779
258,6.54405308,-73.94148261,617030.6643094331,723469.2061439754
259,6.54332784,-73.94148261,617030.8331484237,723389.021460402
260,6.5426026,-73.94148261,617031.0019687786,723308.8367790573
261,6.54187736,-73.94148261,617031.1707704975,723228.6520999414
262,6.54115212,-73.94148261,617031.3395535809,723148.4674230537
263,6.54042688,-73.94148261,617031.5083180282,723068.2827483944
264,6.53970164,-73.94148261,617031.6770638397,722988.0980759629
265,6.5389764,-73.94148261,617031.8457910153,722907.9134057593
266,6.53825116,-73.94148261,617032.014499555,722827.7287377829
267,6.53752592,-73.94148261,617032.1831894587,722747.5440720337
268,6.53680068,-73.94148261,617032.3518607266,722667.3594085118
269,6.53607544,-73.94148261,617032.5205133583,722587.1747472164
270,6.5353502,-73.94148261,617032.689147354,722506.9900881475
271,6.53462496,-73.94148261,617032.8577627137,722426.8054313048
272,6.53389972,-73.94148261,617033.0263594373,722346.620776688
273,6.53317448,-73.94148261,617033.1949375249,722266.4361242971
274,6.53244924,-73.94148261,617033.3634969762,722186.2514741316
275,6.531724,-73.94148261,617033.5320377914,722106.0668261911
276,6.53099876,-73.94148261,617033.7005599705,722025.8821804761
277,6.53027352,-73.94148261,617033.8690635134,721945.6975369855
278,6.52954828,-73.94148261,617034.03754842,721865.5128957198
279,6.52882304,-73.94148261,617034.2060146905,721785.3282566782
280,6.5280978,-73.94148261,617034.3744623244,721705.1436198606
281,6.52737256,-73.94148261,617034.5428913223,721624.958985267
282,6.52664732,-73.94148261,617034.7113016837,721544.7743528965
283,6.52592208,-73.94148261,617034.8796934088,721464.5897227498
284,6.52519684,-73.94148261,617035.0480664975,721384.4050948261
285,6.5244716,-73.94148261,617035.2164209498,721304.2204691251
286,6.52374636,-73.94148261,617035.3847567657,721224.0358456468
287,6.52302112,-73.94148261,617035.5530739451,721143.8512243907
288,6.52229588,-73.94148261,617035.7213724881,721063.6666053567
289,6.52157064,-73.94148261,617035.8896523945,720983.4819885447
290,6.5208454,-73.94148261,617036.0579136644,720903.2973739542
291,6.52012016,-73.94148261,617036.2261562977,720823.1127615852
292,6.51939492,-73.94148261,617036.3943802945,720742.9281514372
293,6.51866968,-73.94148261,617036.5625856546,720662.7435435102
294,6.51794444,-73.94148261,617036.730772378,720582.5589378036
295,6.5172192,-73.94148261,617036.898940465,720502.3743343176
296,6.51649396,-73.94148261,617037.067089915,720422.1897330519
297,6.51576872,-73.94148261,617037.2352207284,720342.0051340059
298,6.51504348,-73.94148261,617037.4033329053,720261.8205371796
299,6.51431824,-73.94148261,617037.5714264452,720181.6359425727
300,6.513593,-73.94148261,617037.7395013483,720101.4513501851
301,6.51286776,-73.94148261,617037.9075576146,720021.2667600162
302,6.51214252,-73.94148261,617038.0755952442,719941.0821720666
303,6.51141728,-73.94148261,617038.2436142368,719860.8975863347
304,6.51069204,-73.94148261,617038.4116145925,719780.7130028215
305,6.5099668,-73.94148261,617038.5795963113,719700.5284215262
306,6.50924156,-73.94148261,617038.7475593932,719620.3438424486
307,6.50851632,-73.94148261,617038.9155038381,719540.1592655885
308,6.50779108,-73.94148261,617039.0834296461,719459.9746909454
309,6.50706584,-73.94148261,617039.2513368169,719379.7901185197
310,6.5063406,-73.94148261,617039.4192253508,719299.6055483103
311,6.50561536,-73.94148261,617039.5870952476,719219.4209803179
312,6.50489012,-73.94148261,617039.7549465074,719139.2364145415
313,6.50416488,-73.94148261,617039.9227791299,719059.0518509814
314,6.50343964,-73.94148261,617040.0905931154,718978.8672896367
315,6.5027144,-73.94148261,617040.2583884638,718898.6827305078
316,6.50198916,-73.94148261,617040.4261651748,718818.4981735941
317,6.50126392,-73.94148261,617040.5939232487,718738.3136188955
318,6.50053868,-73.94148261,617040.7616626853,718658.1290664116
319,6.49981344,-73.94148261,617040.9293834846,718577.9445161422
320,6.4990882,-73.94148261,617041.0970856467,718497.7599680874
321,6.49836296,-73.94148261,617041.2647691714,718417.5754222466
322,6.49763772,-73.94148261,617041.4324340589,718337.3908786197
323,6.49691248,-73.94148261,617041.6000803089,718257.2063372062
324,6.49618724,-73.94148261,617041.7677079214,718177.0217980065
325,6.495462,-73.94148261,617041.9353168966,718096.8372610193
326,6.49473676,-73.94148261,617042.1029072343,718016.6527262455
327,6.49401152,-73.94148261,617042.2704789346,717936.468193684
328,6.49328628,-73.94148261,617042.4380319974,717856.283663335
329,6.49256104,-73.94148261,617042.6055664227,717776.0991351982
330,6.4918358,-73.94148261,617042.7730822104,717695.9146092731
331,6.49111056,-73.94148261,617042.9405793606,717615.7300855599
332,6.49038532,-73.94148261,617043.1080578731,717535.5455640578
333,6.48966008,-73.94148261,617043.275517748,717455.3610447673
334,6.48893484,-73.94148261,617043.4429589852,717375.1765276875
335,6.4882096,-73.94148261,617043.6103815848,717294.9920128185
336,6.48748436,-73.94148261,617043.7777855467,717214.8075001596
337,6.48675912,-73.94148261,617043.9451708707,717134.6229897112
338,6.48603388,-73.94148261,617044.1125375573,717054.4384814728
339,6.48530864,-73.94148261,617044.2798856059,716974.253975444
340,6.4845834,-73.94148261,617044.4472150167,716894.0694716246
341,6.48385816,-73.94148261,617044.6145257897,716813.8849700146
342,6.48313292,-73.94148261,617044.7818179248,716733.7004706134
343,6.48240768,-73.94148261,617044.9490914221,716653.5159734209
344,6.48168244,-73.94148261,617045.1163462815,716573.3314784371
345,6.4809572,-73.94148261,617045.283582503,716493.1469856615
346,6.48023196,-73.94148261,617045.4508000865,716412.9624950939
347,6.47950672,-73.94148261,617045.6179990319,716332.7780067342
348,6.47878148,-73.94148261,617045.7851793395,716252.5935205818
349,6.47805624,-73.94148261,617045.9523410089,716172.4090366367
350,6.477331,-73.94148261,617046.1194840403,716092.2245548989
351,6.47660576,-73.94148261,617046.2866084337,716012.0400753677
352,6.47588052,-73.94148261,617046.4537141889,715931.855598043
353,6.47515528,-73.94148261,617046.620801306,715851.6711229248
354,6.47443004,-73.94148261,617046.787869785,715771.4866500125
355,6.4737048,-73.94148261,617046.9549196258,715691.302179306
356,6.47297956,-73.94148261,617047.1219508282,715611.1177108051
357,6.47225432,-73.94148261,617047.2889633926,715530.9332445097
358,6.47152908,-73.94148261,617047.4559573187,715450.7487804192
359,6.47080384,-73.94148261,617047.6229326065,715370.5643185338
360,6.4700786,-73.94148261,617047.789889256,715290.3798588528
361,6.46935336,-73.94148261,617047.9568272672,715210.1954013765
362,6.46862812,-73.94148261,617048.1237466399,715130.010946104
363,6.46790288,-73.94148261,617048.2906473743,715049.8264930353
364,6.46717764,-73.94148261,617048.4575294703,714969.6420421704
365,6.4664524,-73.94148261,617048.6243929279,714889.457593509
366,6.46572716,-73.94148261,617048.7912377471,714809.2731470506
367,6.46500192,-73.94148261,617048.9580639277,714729.0887027951
368,6.46427668,-73.94148261,617049.1248714698,714648.9042607424
369,6.46355144,-73.94148261,617049.2916603733,714568.719820892
370,6.4628262,-73.94148261,617049.4584306384,714488.5353832437
371,6.46210096,-73.94148261,617049.625182265,714408.3509477975
372,6.46137572,-73.94148261,617049.7919152527,714328.166514553
373,6.46065048,-73.94148261,617049.958629602,714247.9820835098
374,6.45992524,-73.94148261,617050.1253253125,714167.7976546681
375,6.549855,-73.93976017,617219.7665896387,724111.0854199048
376,6.54912976,-73.93976017,617219.9358528514,724030.9006747836
377,6.54840452,-73.93976017,617220.1050973983,723950.7159318934
378,6.54767928,-73.93976017,617220.2743232793,723870.5311912333
379,6.54695404,-73.93976017,617220.4435304941,723790.3464528034
380,6.5462288,-73.93976017,617220.6127190432,723710.1617166032
381,6.54550356,-73.93976017,617220.7818889262,723629.976982633
382,6.54477832,-73.93976017,617220.9510401431,723549.7922508917
383,6.54405308,-73.93976017,617221.120172694,723469.6075213798
384,6.54332784,-73.93976017,617221.2892865788,723389.422794097
385,6.5426026,-73.93976017,617221.4583817974,723309.2380690424
386,6.54187736,-73.93976017,617221.62745835,723229.0533462164
387,6.54115212,-73.93976017,617221.7965162364,723148.8686256186
388,6.54042688,-73.93976017,617221.9655554566,723068.6839072488
389,6.53970164,-73.93976017,617222.1345760106,722988.4991911063
390,6.5389764,-73.93976017,617222.3035778983,722908.3144771917
391,6.53825116,-73.93976017,617222.4725611198,722828.129765504
392,6.53752592,-73.93976017,617222.6415256751,722747.9450560433
393,6.53680068,-73.93976017,617222.8104715638,722667.7603488093
394,6.53607544,-73.93976017,617222.9793987864,722587.575643802
395,6.5353502,-73.93976017,617223.1483073425,722507.3909410207
396,6.53462496,-73.93976017,617223.3171972324,722427.2062404655
397,6.53389972,-73.93976017,617223.4860684557,722347.0215421357
398,6.53317448,-73.93976017,617223.6549210126,722266.8368460316
399,6.53244924,-73.93976017,617223.823754903,722186.6521521528
400,6.531724,-73.93976017,617223.992570127,722106.4674604989
401,6.53099876,-73.93976017,617224.1613666845,722026.2827710698
402,6.53027352,-73.93976017,617224.3301445753,721946.0980838651
403,6.52954828,-73.93976017,617224.4989037997,721865.913398885
404,6.52882304,-73.93976017,617224.6676443573,721785.7287161287
405,6.5280978,-73.93976017,617224.8363662485,721705.5440355963
406,6.52737256,-73.93976017,617225.005069473,721625.3593572874
407,6.52664732,-73.93976017,617225.1737540307,721545.1746812017
408,6.52592208,-73.93976017,617225.3424199218,721464.9900073392
