Punto,Lat,Long
1827,6.499904094999988,-73.9449275
1828,6.499904094999988,-73.94420226000001
1829,6.499904094999988,-73.94347702000002
1830,6.499904094999988,-73.94275178000002
1831,6.499904094999988,-73.94202654000003
1832,6.499904094999988,-73.94130130000003
1833,6.499904094999988,-73.94057606000004
1834,6.499904094999988,-73.93985082000005
1835,6.499904094999988,-73.93912558000005
1836,6.499904094999988,-73.93840034000006
1837,6.499904094999988,-73.93767510000006
1838,6.499904094999988,-73.93694986000007
1839,6.499904094999988,-73.93622462000008
1840,6.499904094999988,-73.93549938000008
1841,6.499904094999988,-73.93477414000009
1842,6.499904094999988,-73.93404890000009
1843,6.499904094999988,-73.9333236600001
1844,6.499904094999988,-73.9325984200001
1845,6.499904094999988,-73.93187318000011
1846,6.499904094999988,-73.93114794000012
1847,6.499904094999988,-73.93042270000012
1848,6.499904094999988,-73.92969746000013
1849,6.499904094999988,-73.92897222000013
1850,6.499904094999988,-73.92824698000014
1851,6.499904094999988,-73.92752174000015
1852,6.499904094999988,-73.92679650000015
1853,6.499904094999988,-73.92607126000016
1854,6.499904094999988,-73.92534602000016
1855,6.499904094999988,-73.92462078000017
1856,6.499904094999988,-73.92389554000017
1857,6.499904094999988,-73.92317030000018
1858,6.499904094999988,-73.92244506000019
1859,6.499904094999988,-73.92171982000019
1860,6.499904094999988,-73.9209945800002
1861,6.499904094999988,-73.9202693400002
1862,6.499904094999988,-73.91954410000021
1863,6.499904094999988,-73.91881886000021
1864,6.499904094999988,-73.91809362000022
1865,6.499904094999988,-73.91736838000023
1866,6.499904094999988,-73.91664314000023
1867,6.499904094999988,-73.91591790000024
1868,6.499904094999988,-73.91519266000024
1869,6.499904094999988,-73.91446742000025
1870,6.499904094999988,-73.91374218000026
1871,6.499904094999988,-73.91301694000026
1872,6.499904094999988,-73.91229170000027
1873,6.499904094999988,-73.91156646000027
1874,6.499904094999988,-73.91084122000028
1875,6.499904094999988,-73.91011598000028
1876,6.499904094999988,-73.90939074000029
1877,6.499904094999988,-73.9086655000003
1878,6.499904094999988,-73.9079402600003
1879,6.499904094999988,-73.90721502000031
1880,6.499904094999988,-73.90648978000031
1881,6.499904094999988,-73.90576454000032
1882,6.499904094999988,-73.90503930000033
1883,6.499904094999988,-73.90431406000033
1884,6.499904094999988,-73.90358882000034
1885,6.499904094999988,-73.90286358000034
1886,6.499904094999988,-73.90213834000035
1887,6.499904094999988,-73.90141310000035
1888,6.499904094999988,-73.90068786000036
1889,6.499904094999988,-73.89996262000037
1890,6.498181649999988,-73.9449275
1891,6.498181649999988,-73.94420226000001
1892,6.498181649999988,-73.94347702000002
1893,6.498181649999988,-73.94275178000002
1894,6.498181649999988,-73.94202654000003
1895,6.498181649999988,-73.94130130000003
1896,6.498181649999988,-73.94057606000004
1897,6.498181649999988,-73.93985082000005
1898,6.498181649999988,-73.93912558000005
1899,6.498181649999988,-73.93840034000006
1900,6.498181649999988,-73.93767510000006
1901,6.498181649999988,-73.93694986000007
1902,6.498181649999988,-73.93622462000008
1903,6.498181649999988,-73.93549938000008
1904,6.498181649999988,-73.93477414000009
1905,6.498181649999988,-73.93404890000009
1906,6.498181649999988,-73.9333236600001
1907,6.498181649999988,-73.9325984200001
1908,6.498181649999988,-73.93187318000011
1909,6.498181649999988,-73.93114794000012
1910,6.498181649999988,-73.93042270000012
1911,6.498181649999988,-73.92969746000013
1912,6.498181649999988,-73.92897222000013
1913,6.498181649999988,-73.92824698000014
1914,6.498181649999988,-73.92752174000015
1915,6.498181649999988,-73.92679650000015
1916,6.498181649999988,-73.92607126000016
1917,6.498181649999988,-73.92534602000016
1918,6.498181649999988,-73.92462078000017
1919,6.498181649999988,-73.92389554000017
1920,6.498181649999988,-73.92317030000018
1921,6.498181649999988,-73.92244506000019
1922,6.498181649999988,-73.92171982000019
1923,6.498181649999988,-73.9209945800002
1924,6.498181649999988,-73.9202693400002
1925,6.498181649999988,-73.91954410000021
1926,6.498181649999988,-73.91881886000021
1927,6.498181649999988,-73.91809362000022
1928,6.498181649999988,-73.91736838000023
1929,6.498181649999988,-73.91664314000023
1930,6.498181649999988,-73.91591790000024
1931,6.498181649999988,-73.91519266000024
1932,6.498181649999988,-73.91446742000025
1933,6.498181649999988,-73.91374218000026
1934,6.498181649999988,-73.91301694000026
1935,6.498181649999988,-73.91229170000027
1936,6.498181649999988,-73.91156646000027
1937,6.498181649999988,-73.91084122000028
1938,6.498181649999988,-73.91011598000028
1939,6.498181649999988,-73.90939074000029
1940,6.498181649999988,-73.9086655000003
1941,6.498181649999988,-73.9079402600003
1942,6.498181649999988,-73.90721502000031
1943,6.498181649999988,-73.90648978000031
1944,6.498181649999988,-73.90576454000032
1945,6.498181649999988,-73.90503930000033
1946,6.498181649999988,-73.90431406000033
1947,6.498181649999988,-73.90358882000034
1948,6.498181649999988,-73.90286358000034
1949,6.498181649999988,-73.90213834000035
1950,6.498181649999988,-73.90141310000035
1951,6.498181649999988,-73.90068786000036
1952,6.498181649999988,-73.89996262000037
1953,6.496459204999987,-73.9449275
1954,6.496459204999987,-73.94420226000001
1955,6.496459204999987,-73.94347702000002
1956,6.496459204999987,-73.94275178000002
1957,6.496459204999987,-73.94202654000003
1958,6.496459204999987,-73.94130130000003
1959,6.496459204999987,-73.94057606000004
1960,6.496459204999987,-73.93985082000005
1961,6.496459204999987,-73.93912558000005
1962,6.496459204999987,-73.93840034000006
1963,6.496459204999987,-73.93767510000006
1964,6.496459204999987,-73.93694986000007
1965,6.496459204999987,-73.93622462000008
1966,6.496459204999987,-73.93549938000008
1967,6.496459204999987,-73.93477414000009
1968,6.496459204999987,-73.93404890000009
1969,6.496459204999987,-73.9333236600001
1970,6.496459204999987,-73.9325984200001
