id,lat,lon
174,6.51431824,-73.94320506
175,6.513593,-73.94320506
176,6.51286776,-73.94320506
177,6.51214252,-73.94320506
178,6.51141728,-73.94320506
179,6.51069204,-73.94320506
180,6.5099668,-73.94320506
181,6.50924156,-73.94320506
182,6.50851632,-73.94320506
183,6.50779108,-73.94320506
184,6.50706584,-73.94320506
185,6.5063406,-73.94320506
186,6.50561536,-73.94320506
187,6.50489012,-73.94320506
188,6.50416488,-73.94320506
189,6.50343964,-73.94320506
190,6.5027144,-73.94320506
191,6.50198916,-73.94320506
192,6.50126392,-73.94320506
193,6.50053868,-73.94320506
194,6.49981344,-73.94320506
195,6.4990882,-73.94320506
196,6.49836296,-73.94320506
197,6.49763772,-73.94320506
198,6.49691248,-73.94320506
199,6.49618724,-73.94320506
200,6.495462,-73.94320506
201,6.49473676,-73.94320506
202,6.49401152,-73.94320506
203,6.49328628,-73.94320506
204,6.49256104,-73.94320506
205,6.4918358,-73.94320506
206,6.49111056,-73.94320506
207,6.49038532,-73.94320506
208,6.48966008,-73.94320506
209,6.48893484,-73.94320506
210,6.4882096,-73.94320506
211,6.48748436,-73.94320506
212,6.48675912,-73.94320506
213,6.48603388,-73.94320506
214,6.48530864,-73.94320506
215,6.4845834,-73.94320506
216,6.48385816,-73.94320506
217,6.48313292,-73.94320506
218,6.48240768,-73.94320506
219,6.48168244,-73.94320506
220,6.4809572,-73.94320506
221,6.48023196,-73.94320506
222,6.47950672,-73.94320506
223,6.47878148,-73.94320506
224,6.47805624,-73.94320506
225,6.477331,-73.94320506
226,6.47660576,-73.94320506
227,6.47588052,-73.94320506
228,6.47515528,-73.94320506
229,6.47443004,-73.94320506
230,6.4737048,-73.94320506
231,6.47297956,-73.94320506
232,6.47225432,-73.94320506
233,6.47152908,-73.94320506
234,6.47080384,-73.94320506
235,6.4700786,-73.94320506
236,6.46935336,-73.94320506
237,6.46862812,-73.94320506
238,6.46790288,-73.94320506
239,6.46717764,-73.94320506
240,6.4664524,-73.94320506
241,6.46572716,-73.94320506
242,6.46500192,-73.94320506
243,6.46427668,-73.94320506
244,6.46355144,-73.94320506
245,6.4628262,-73.94320506
246,6.46210096,-73.94320506
247,6.46137572,-73.94320506
248,6.46065048,-73.94320506
249,6.45992524,-73.94320506
250,6.549855,-73.94148261
251,6.54912976,-73.94148261
252,6.54840452,-73.94148261
253,6.54767928,-73.94148261
254,6.54695404,-73.94148261
255,6.5462288,-73.94148261
256,6.54550356,-73.94148261
257,6.54477832,-73.94148261
258,6.54405308,-73.94148261
259,6.54332784,-73.94148261
260,6.5426026,-73.94148261
261,6.54187736,-73.94148261
262,6.54115212,-73.94148261
263,6.54042688,-73.94148261
264,6.53970164,-73.94148261
265,6.5389764,-73.94148261
266,6.53825116,-73.94148261
267,6.53752592,-73.94148261
268,6.53680068,-73.94148261
269,6.53607544,-73.94148261
270,6.5353502,-73.94148261
271,6.53462496,-73.94148261
272,6.53389972,-73.94148261
273,6.53317448,-73.94148261
274,6.53244924,-73.94148261
275,6.531724,-73.94148261
276,6.53099876,-73.94148261
277,6.53027352,-73.94148261
278,6.52954828,-73.94148261
279,6.52882304,-73.94148261
280,6.5280978,-73.94148261
281,6.52737256,-73.94148261
282,6.52664732,-73.94148261
283,6.52592208,-73.94148261
284,6.52519684,-73.94148261
285,6.5244716,-73.94148261
286,6.52374636,-73.94148261
287,6.52302112,-73.94148261
288,6.52229588,-73.94148261
289,6.52157064,-73.94148261
290,6.5208454,-73.94148261
291,6.52012016,-73.94148261
292,6.51939492,-73.94148261
293,6.51866968,-73.94148261
294,6.51794444,-73.94148261
295,6.5172192,-73.94148261
296,6.51649396,-73.94148261
297,6.51576872,-73.94148261
298,6.51504348,-73.94148261
299,6.51431824,-73.94148261
300,6.513593,-73.94148261
301,6.51286776,-73.94148261
302,6.51214252,-73.94148261
303,6.51141728,-73.94148261
304,6.51069204,-73.94148261
305,6.5099668,-73.94148261
306,6.50924156,-73.94148261
307,6.50851632,-73.94148261
308,6.50779108,-73.94148261
309,6.50706584,-73.94148261
310,6.5063406,-73.94148261
311,6.50561536,-73.94148261
312,6.50489012,-73.94148261
313,6.50416488,-73.94148261
314,6.50343964,-73.94148261
315,6.5027144,-73.94148261
316,6.50198916,-73.94148261
317,6.50126392,-73.94148261
318,6.50053868,-73.94148261
319,6.49981344,-73.94148261
320,6.4990882,-73.94148261
