id,lat,lon
172,6.54641011,-73.91156646
173,6.54641011,-73.91084122
174,6.54641011,-73.91011598
175,6.54641011,-73.90939074
176,6.54641011,-73.9086655
177,6.54641011,-73.90794026
178,6.54641011,-73.90721502
179,6.54641011,-73.90648978
180,6.54641011,-73.90576454
181,6.54641011,-73.9050393
182,6.54641011,-73.90431406
183,6.54641011,-73.90358882
184,6.54641011,-73.90286358
185,6.54641011,-73.90213834
186,6.54641011,-73.9014131
187,6.54641011,-73.90068786
188,6.54641011,-73.89996262
189,6.544687665,-73.9449275
190,6.544687665,-73.94420226
191,6.544687665,-73.94347702
192,6.544687665,-73.94275178
193,6.544687665,-73.94202654
194,6.544687665,-73.9413013
195,6.544687665,-73.94057606
196,6.544687665,-73.93985082
197,6.544687665,-73.93912558
198,6.544687665,-73.93840034
199,6.544687665,-73.9376751
200,6.544687665,-73.93694986
201,6.544687665,-73.93622462
202,6.544687665,-73.93549938
203,6.544687665,-73.93477414
204,6.544687665,-73.9340489
205,6.544687665,-73.93332366
206,6.544687665,-73.93259842
207,6.544687665,-73.93187318
208,6.544687665,-73.93114794
209,6.544687665,-73.9304227
210,6.544687665,-73.92969746
211,6.544687665,-73.92897222
212,6.544687665,-73.92824698
213,6.544687665,-73.92752174
214,6.544687665,-73.9267965
215,6.544687665,-73.92607126
216,6.544687665,-73.92534602
217,6.544687665,-73.92462078
218,6.544687665,-73.92389554
219,6.544687665,-73.9231703
220,6.544687665,-73.92244506
221,6.544687665,-73.92171982
222,6.544687665,-73.92099458
223,6.544687665,-73.92026934
224,6.544687665,-73.9195441
225,6.544687665,-73.91881886
226,6.544687665,-73.91809362
227,6.544687665,-73.91736838
228,6.544687665,-73.91664314
229,6.544687665,-73.9159179
230,6.544687665,-73.91519266
231,6.544687665,-73.91446742
232,6.544687665,-73.91374218
233,6.544687665,-73.91301694
234,6.544687665,-73.9122917
235,6.544687665,-73.91156646
236,6.544687665,-73.91084122
237,6.544687665,-73.91011598
238,6.544687665,-73.90939074
239,6.544687665,-73.9086655
240,6.544687665,-73.90794026
241,6.544687665,-73.90721502
242,6.544687665,-73.90648978
243,6.544687665,-73.90576454
244,6.544687665,-73.9050393
245,6.544687665,-73.90431406
246,6.544687665,-73.90358882
247,6.544687665,-73.90286358
248,6.544687665,-73.90213834
249,6.544687665,-73.9014131
250,6.544687665,-73.90068786
251,6.544687665,-73.89996262
252,6.54296522,-73.9449275
253,6.54296522,-73.94420226
254,6.54296522,-73.94347702
255,6.54296522,-73.94275178
256,6.54296522,-73.94202654
257,6.54296522,-73.9413013
258,6.54296522,-73.94057606
259,6.54296522,-73.93985082
260,6.54296522,-73.93912558
261,6.54296522,-73.93840034
262,6.54296522,-73.9376751
263,6.54296522,-73.93694986
264,6.54296522,-73.93622462
265,6.54296522,-73.93549938
266,6.54296522,-73.93477414
267,6.54296522,-73.9340489
268,6.54296522,-73.93332366
269,6.54296522,-73.93259842
270,6.54296522,-73.93187318
271,6.54296522,-73.93114794
272,6.54296522,-73.9304227
273,6.54296522,-73.92969746
274,6.54296522,-73.92897222
275,6.54296522,-73.92824698
276,6.54296522,-73.92752174
277,6.54296522,-73.9267965
278,6.54296522,-73.92607126
279,6.54296522,-73.92534602
280,6.54296522,-73.92462078
281,6.54296522,-73.92389554
282,6.54296522,-73.9231703
283,6.54296522,-73.92244506
284,6.54296522,-73.92171982
285,6.54296522,-73.92099458
286,6.54296522,-73.92026934
287,6.54296522,-73.9195441
288,6.54296522,-73.91881886
289,6.54296522,-73.91809362
290,6.54296522,-73.91736838
291,6.54296522,-73.91664314
292,6.54296522,-73.9159179
293,6.54296522,-73.91519266
294,6.54296522,-73.91446742
295,6.54296522,-73.91374218
296,6.54296522,-73.91301694
297,6.54296522,-73.9122917
298,6.54296522,-73.91156646
299,6.54296522,-73.91084122
300,6.54296522,-73.91011598
301,6.54296522,-73.90939074
302,6.54296522,-73.9086655
303,6.54296522,-73.90794026
304,6.54296522,-73.90721502
305,6.54296522,-73.90648978
306,6.54296522,-73.90576454
307,6.54296522,-73.9050393
308,6.54296522,-73.90431406
309,6.54296522,-73.90358882
310,6.54296522,-73.90286358
311,6.54296522,-73.90213834
312,6.54296522,-73.9014131
313,6.54296522,-73.90068786
314,6.54296522,-73.89996262
315,6.541242775,-73.9449275
316,6.541242775,-73.94420226
317,6.541242775,-73.94347702
318,6.541242775,-73.94275178
319,6.541242775,-73.94202654
320,6.541242775,-73.9413013
321,6.541242775,-73.94057606
322,6.541242775,-73.93985082
323,6.541242775,-73.93912558
324,6.541242775,-73.93840034
325,6.541242775,-73.9376751
326,6.541242775,-73.93694986
327,6.541242775,-73.93622462
328,6.541242775,-73.93549938
329,6.541242775,-73.93477414
330,6.541242775,-73.9340489
331,6.541242775,-73.93332366
332,6.541242775,-73.93259842
333,6.541242775,-73.93187318
334,6.541242775,-73.93114794
335,6.541242775,-73.9304227
336,6.541242775,-73.92969746
337,6.541242775,-73.92897222
338,6.541242775,-73.92824698
339,6.541242775,-73.92752174
340,6.541242775,-73.9267965
341,6.541242775,-73.92607126
342,6.541242775,-73.92534602
343,6.541242775,-73.92462078
344,6.541242775,-73.92389554
345,6.541242775,-73.9231703
346,6.541242775,-73.92244506
347,6.541242775,-73.92171982
348,6.541242775,-73.92099458
349,6.541242775,-73.92026934
350,6.541242775,-73.9195441
351,6.541242775,-73.91881886
352,6.541242775,-73.91809362
353,6.541242775,-73.91736838
354,6.541242775,-73.91664314
355,6.541242775,-73.9159179
356,6.541242775,-73.91519266
