id,lat,lon,E,N
80,6.548132555,-73.93259842,618012.0615267548,723922.3235733026
81,6.548132555,-73.93187318,618092.2532643095,723922.4940176589
82,6.548132555,-73.93114794,618172.4450204213,723922.66457785
83,6.548132555,-73.9304227,618252.6367951027,723922.8352538762
84,6.548132555,-73.92969746,618332.8285883651,723923.0060457378
85,6.548132555,-73.92897222,618413.0204002223,723923.1769534346
86,6.548132555,-73.92824698,618493.2122306897,723923.347976967
87,6.548132555,-73.92752174,618573.4040797744,723923.519116335
88,6.548132555,-73.9267965,618653.5959474932,723923.690371539
89,6.548132555,-73.92607126,618733.7878338558,723923.8617425787
90,6.548132555,-73.92534602,618813.9797388779,723924.0332294544
91,6.548132555,-73.92462078,618894.1716625703,723924.2048321664
92,6.548132555,-73.92389554,618974.3636049444,723924.3765507147
93,6.548132555,-73.9231703,619054.5555660172,723924.5483850996
94,6.548132555,-73.92244506,619134.7475457955,723924.7203353209
95,6.548132555,-73.92171982,619214.9395442946,723924.8924013791
96,6.548132555,-73.92099458,619295.1315615287,723925.0645832741
97,6.548132555,-73.92026934,619375.323597509,723925.2368810062
98,6.548132555,-73.9195441,619455.5156522479,723925.4092945753
99,6.548132555,-73.91881886,619535.7077257568,723925.5818239817
100,6.548132555,-73.91809362,619615.8998180511,723925.7544692259
101,6.548132555,-73.91736838,619696.0919291421,723925.9272303073
102,6.548132555,-73.91664314,619776.2840590407,723926.1001072265
103,6.548132555,-73.9159179,619856.4762077625,723926.2730999835
104,6.548132555,-73.91519266,619936.6683753174,723926.4462085787
105,6.548132555,-73.91446742,620016.8605617221,723926.6194330117
106,6.548132555,-73.91374218,620097.0527669835,723926.7927732832
107,6.548132555,-73.91301694,620177.2449911172,723926.9662293928
108,6.548132555,-73.9122917,620257.4372341385,723927.1398013412
109,6.548132555,-73.91156646,620337.6294960545,723927.3134891283
110,6.548132555,-73.91084122,620417.8217768818,723927.4872927541
111,6.548132555,-73.91011598,620498.0140766305,723927.6612122189
112,6.548132555,-73.90939074,620578.2063953157,723927.8352475228
113,6.548132555,-73.9086655,620658.3987329488,723928.0093986659
114,6.548132555,-73.90794026,620738.5910895411,723928.1836656486
115,6.548132555,-73.90721502,620818.7834651091,723928.3580484705
116,6.548132555,-73.90648978,620898.9758596601,723928.532547132
117,6.548132555,-73.90576454,620979.1682732092,723928.7071616334
118,6.548132555,-73.9050393,621059.3607057709,723928.8818919748
119,6.548132555,-73.90431406,621139.5531573559,723929.0567381562
120,6.548132555,-73.90358882,621219.7456279771,723929.2317001779
121,6.548132555,-73.90286358,621299.9381176456,723929.4067780399
122,6.548132555,-73.90213834,621380.1306263768,723929.5819717422
123,6.548132555,-73.9014131,621460.3231541819,723929.7572812854
124,6.548132555,-73.90068786,621540.5157010723,723929.9327066693
125,6.548132555,-73.89996262,621620.7082670631,723930.108247894
126,6.54641011,-73.9449275,616649.2047200194,723729.0052993412
127,6.54641011,-73.94420226,616729.3964190779,723729.173730978
128,6.54641011,-73.94347702,616809.5881364765,723729.3422784175
129,6.54641011,-73.94275178,616889.7798722322,723729.51094166
130,6.54641011,-73.94202654,616969.9716263562,723729.6797207056
131,6.54641011,-73.9413013,617050.1633988596,723729.8486155543
132,6.54641011,-73.94057606,617130.3551897579,723730.0176262062
133,6.54641011,-73.93985082,617210.5469990609,723730.1867526614
134,6.54641011,-73.93912558,617290.7388267854,723730.3559949201
135,6.54641011,-73.93840034,617370.9306729382,723730.5253529827
136,6.54641011,-73.9376751,617451.1225375351,723730.694826849
137,6.54641011,-73.93694986,617531.3144205898,723730.8644165193
138,6.54641011,-73.93622462,617611.5063221137,723731.0341219936
