id,x_survey,y_survey,E,N,lon,lat
R_15_229,4419.4173824159225,11233.868198043527,828573.4993821211,487141.7508546557,-72.0398286137704,4.401340213663149
R_15_230,4419.4173824159225,11282.924391048084,828573.4993821211,487190.80704766023,-72.03982686137323,4.401783418058796
R_15_231,4419.4173824159225,11331.98058405264,828573.4993821211,487239.86324066477,-72.03982510879786,4.402226622448475
R_15_232,4419.4173824159225,11381.036777057197,828573.4993821211,487288.91943366936,-72.03982335604432,4.402669826832189
R_15_233,4419.4173824159225,11430.092970061754,828573.4993821211,487337.9756266739,-72.03982160311261,4.403113031209935
R_15_234,4419.4173824159225,11479.149163066311,828573.4993821211,487387.03181967844,-72.03981985000273,4.403556235581714
R_15_235,4419.4173824159225,11528.205356070868,828573.4993821211,487436.08801268303,-72.03981809671464,4.403999439947529
R_15_236,4419.4173824159225,11577.261549075425,828573.4993821211,487485.14420568757,-72.03981634324838,4.404442644307372
R_15_237,4419.4173824159225,11626.317742079982,828573.4993821211,487534.2003986921,-72.03981458960394,4.404885848661249
R_15_238,4419.4173824159225,11675.373935084539,828573.4993821211,487583.2565916967,-72.03981283578132,4.4053290530091544
R_15_239,4419.4173824159225,11724.430128089096,828573.4993821211,487632.31278470124,-72.03981108178051,4.4057722573510905
R_15_240,4419.4173824159225,11773.486321093653,828573.4993821211,487681.3689777058,-72.03980932760152,4.406215461687055
R_15_241,4419.4173824159225,11822.54251409821,828573.4993821211,487730.42517071037,-72.03980757324435,4.40665866601705
R_15_242,4419.4173824159225,11871.598707102767,828573.4993821211,487779.4813637149,-72.03980581870898,4.407101870341072
R_15_243,4419.4173824159225,11920.654900107324,828573.4993821211,487828.53755671944,-72.03980406399543,4.4075450746591205
R_15_244,4419.4173824159225,11969.71109311188,828573.4993821211,487877.59374972404,-72.03980230910369,4.407988278971198
R_15_245,4419.4173824159225,12018.767286116437,828573.4993821211,487926.6499427286,-72.03980055403377,4.408431483277301
R_15_246,4419.4173824159225,12067.823479120994,828573.4993821211,487975.7061357331,-72.03979879878567,4.40887468757743
R_15_247,4419.4173824159225,12116.879672125551,828573.4993821211,488024.7623287377,-72.03979704335939,4.409317891871584
R_15_248,4419.4173824159225,12165.935865130108,828573.4993821211,488073.81852174224,-72.0397952877549,4.409761096159762
R_15_249,4419.4173824159225,12214.992058134665,828573.4993821211,488122.8747147468,-72.03979353197222,4.410204300441964
R_15_250,4419.4173824159225,12264.048251139222,828573.4993821211,488171.9309077514,-72.03979177601137,4.41064750471819
R_15_251,4419.4173824159225,12313.104444143779,828573.4993821211,488220.9871007559,-72.03979001987233,4.411090708988438
R_15_252,4419.4173824159225,12362.160637148336,828573.4993821211,488270.0432937605,-72.03978826355508,4.411533913252709
R_15_253,4419.4173824159225,12411.216830152893,828573.4993821211,488319.09948676504,-72.03978650705966,4.411977117511004
R_15_254,4419.4173824159225,12460.27302315745,828573.4993821211,488368.1556797696,-72.03978475038603,4.412420321763315
R_15_255,4419.4173824159225,12509.329216162007,828573.4993821211,488417.2118727742,-72.03978299353422,4.412863526009649
R_15_256,4419.4173824159225,12558.385409166563,828573.4993821211,488466.2680657787,-72.03978123650421,4.413306730250003
R_15_257,4419.4173824159225,12607.44160217112,828573.4993821211,488515.32425878325,-72.03977947929602,4.413749934484374
R_15_258,4419.4173824159225,12656.497795175677,828573.4993821211,488564.38045178785,-72.03977772190963,4.414193138712766
