id,x_survey,y_survey,E,N,lon,lat
S_0_58,2845.2591942642994,0.0,826999.3411939695,475907.88265661214,-72.05439248830544,4.29990125284498
S_0_59,2894.3153872688563,0.0,827048.3973869741,475907.88265661214,-72.05395098469602,4.299899542773364
S_0_60,2943.371580273413,0.0,827097.4535799786,475907.88265661214,-72.05350948126386,4.299897832446353
S_0_61,2992.42777327797,0.0,827146.5097729831,475907.88265661214,-72.05306797800894,4.2998961218639495
S_0_62,3041.483966282527,0.0,827195.5659659877,475907.88265661214,-72.05262647493132,4.299894411026148
S_0_63,3090.540159287084,0.0,827244.6221589922,475907.88265661214,-72.052184972031,4.299892699932957
S_0_64,3139.596352291641,0.0,827293.6783519968,475907.88265661214,-72.05174346930805,4.29989098858437
S_0_65,3188.652545296198,0.0,827342.7345450014,475907.88265661214,-72.05130196676245,4.29988927698039
S_0_66,3237.7087383007547,0.0,827391.7907380059,475907.88265661214,-72.05086046439426,4.299887565121019
S_0_67,3286.7649313053116,0.0,827440.8469310105,475907.88265661214,-72.05041896220348,4.2998858530062565
S_0_68,3335.8211243098685,0.0,827489.9031240151,475907.88265661214,-72.04997746019016,4.2998841406361015
S_0_69,3384.8773173144255,0.0,827538.9593170196,475907.88265661214,-72.04953595835433,4.299882428010557
S_0_70,3433.9335103189824,0.0,827588.0155100242,475907.88265661214,-72.04909445669598,4.299880715129622
S_0_71,3482.9897033235393,0.0,827637.0717030287,475907.88265661214,-72.04865295521518,4.299879001993296
S_0_72,3532.045896328096,0.0,827686.1278960332,475907.88265661214,-72.0482114539119,4.299877288601582
S_0_73,3581.1020893326527,0.0,827735.1840890378,475907.88265661214,-72.04776995278623,4.299875574954479
S_0_74,3630.1582823372096,0.0,827784.2402820424,475907.88265661214,-72.04732845183817,4.299873861051988
S_0_75,3679.2144753417665,0.0,827833.2964750469,475907.88265661214,-72.04688695106773,4.29987214689411
S_0_76,3728.2706683463234,0.0,827882.3526680515,475907.88265661214,-72.04644545047496,4.299870432480843
S_0_77,3777.3268613508803,0.0,827931.4088610561,475907.88265661214,-72.04600395005988,4.299868717812189
S_0_78,3826.3830543554373,0.0,827980.4650540606,475907.88265661214,-72.04556244982251,4.299867002888152
S_0_79,3875.439247359994,0.0,828029.5212470652,475907.88265661214,-72.04512094976288,4.299865287708727
S_0_80,3924.495440364551,0.0,828078.5774400698,475907.88265661214,-72.04467944988102,4.299863572273917
S_0_81,3973.551633369108,0.0,828127.6336330742,475907.88265661214,-72.04423795017695,4.299861856583724
