id,E,N,lon,lat
192,616890.1804970497,723539.0723809882,-73.94275178,6.5446876650000005
193,616970.3725261455,723539.2411163975,-73.94202654,6.544687665
194,617050.5645736213,723539.4099675801,-73.9413013,6.544687664999999
195,617130.7566394921,723539.5789345361,-73.94057606,6.544687664999999
196,617210.948723768,723539.7480172657,-73.93985082,6.544687665
197,617291.1408264657,723539.9172157685,-73.93912558,6.544687664999999
198,617371.3329475923,723540.0865300453,-73.93840034,6.544687664999999
199,617451.525087163,723540.255960096,-73.9376751,6.544687664999999
200,617531.7172451918,723540.4255059207,-73.93694986,6.544687665
201,617611.9094216902,723540.5951675194,-73.93622462,6.544687665
202,617692.1016166706,723540.7649448925,-73.93549938,6.544687665
203,617772.2938301443,723540.93483804,-73.93477414,6.544687664999999
204,617852.486062128,723541.1048469619,-73.9340489,6.544687665
205,617932.6783126289,723541.2749716587,-73.93332366,6.544687665
206,618012.870581662,723541.4452121302,-73.93259842,6.544687664999999
207,618093.0628692418,723541.6155683766,-73.93187318,6.544687664999999
208,618173.2551753792,723541.7860403982,-73.93114794,6.544687665
209,618253.4475000869,723541.956628195,-73.9304227,6.544687665
210,618333.6398433761,723542.127331767,-73.92969746,6.544687664999999
211,618413.8322052609,723542.2981511146,-73.92897222,6.544687664999999
212,618494.0245857565,723542.4690862378,-73.92824698,6.544687664999999
213,618574.2169848699,723542.6401371368,-73.92752174,6.544687664999998
214,618654.4094026183,723542.8113038118,-73.9267965,6.5446876650000005
215,618734.6018390111,723542.9825862627,-73.92607126,6.544687664999999
216,618814.7942940638,723543.1539844901,-73.92534602,6.5446876650000005
217,618894.9867677877,723543.3254984935,-73.92462078,6.5446876650000005
218,618975.1792601941,723543.4971282732,-73.92389554,6.544687664999999
219,619055.3717712995,723543.6688738299,-73.9231703,6.5446876650000005
220,619135.5643011112,723543.8407351632,-73.92244506,6.544687665
221,619215.7568496444,723544.0127122732,-73.92171982,6.544687665
222,619295.9494169131,723544.1848051603,-73.92099458,6.544687665
223,619376.1420029288,723544.3570138246,-73.92026934,6.5446876650000005
224,619456.3346077036,723544.5293382659,-73.9195441,6.544687664999999
225,619536.5272312493,723544.701778485,-73.91881886,6.544687665
226,619616.7198735808,723544.8743344814,-73.91809362000001,6.544687664999999
227,619696.9125347098,723545.0470062556,-73.91736838,6.544687665
228,619777.105214647,723545.2197938076,-73.91664314,6.5446876650000005
229,619857.2979134081,723545.3926971374,-73.9159179,6.544687665
230,619937.4906310029,723545.5657162456,-73.91519266000002,6.544687665
231,620017.6833674482,723545.7388511319,-73.91446742,6.544687665
232,620097.8761227509,723545.9121017965,-73.91374218,6.544687664999999
233,620178.0688969265,723546.0854682397,-73.91301694,6.544687665
234,620258.2616899903,723546.2589504615,-73.9122917,6.544687664999999
235,620338.4545019495,723546.4325484623,-73.91156646,6.544687665
236,620418.6473328207,723546.6062622418,-73.91084122,6.544687665
237,620498.8401826138,723546.7800918005,-73.91011598,6.544687665
238,620579.0330513443,723546.9540371384,-73.90939074,6.544687665
239,620659.2259390233,723547.1280982555,-73.9086655,6.544687664999999
240,620739.418845662,723547.3022751524,-73.90794026,6.5446876650000005
241,620819.6117712774,723547.4765678286,-73.90721502,6.544687664999999
242,620899.8047158761,723547.6509762848,-73.90648978,6.544687665
243,620979.9976794738,723547.8255005208,-73.90576454,6.544687665
244,621060.1906620846,723548.0001405367,-73.9050393,6.544687664999999
245,621140.3836637194,723548.174896333,-73.90431406,6.544687664999999
246,621220.5766843911,723548.3497679095,-73.90358882,6.544687664999999
247,621300.7697241107,723548.5247552666,-73.90286358,6.544687665
248,621380.9627828938,723548.6998584042,-73.90213834,6.544687664999999
249,621461.1558607514,723548.8750773226,-73.9014131,6.544687664999999
250,621541.3489576948,723549.0504120218,-73.90068786,6.5446876650000005
251,621621.5420737396,723549.2258625022,-73.89996262,6.544687665
252,616650.0042150517,723348.1284520319,-73.9449275,6.542965220000001
253,616730.19646398,723348.2967965758,-73.94420226,6.542965220000001
254,616810.3887312493,723348.4652568625,-73.94347702,6.542965220000001
255,616890.581016876,723348.633832892,-73.94275178,6.542965220000001
256,616970.7733208719,723348.8025246649,-73.94202654,6.542965220000001
257,617050.9656432478,723348.9713321809,-73.9413013,6.542965220000001
258,617131.1579840191,723349.1402554404,-73.94057606,6.542965219999999
259,617211.350343196,723349.3092944435,-73.93985082,6.542965220000001
260,617291.5427207948,723349.4784491902,-73.93912558,6.54296522
261,617371.7351168228,723349.6477196806,-73.93840034,6.542965220000001
262,617451.9275312953,723349.8171059149,-73.9376751,6.542965220000001
263,617532.1199642264,723349.9866078934,-73.93694986,6.542965220000001
264,617612.3124156272,723350.156225616,-73.93622462,6.542965220000001
265,617692.5048855104,723350.325959083,-73.93549938,6.542965220000001
266,617772.6973738872,723350.4958082944,-73.93477414,6.54296522
267,617852.8898807743,723350.6657732505,-73.9340489,6.542965220000001
268,617933.0824061787,723350.8358539512,-73.93332366,6.542965220000001
269,618013.274950116,723351.006050397,-73.93259842,6.542965220000001
270,618093.4675126001,723351.1763625874,-73.93187318,6.54296522
271,618173.6600936423,723351.3467905234,-73.93114794,6.542965220000001
272,618253.8526932551,723351.5173342044,-73.9304227,6.54296522
273,618334.0453114496,723351.6879936309,-73.92969746,6.54296522
274,618414.23794824,723351.8587688031,-73.92897222,6.542965220000001
275,618494.4306036417,723352.0296597207,-73.92824698,6.542965220000001
276,618574.6232776615,723352.2006663843,-73.92752174,6.542965220000001
277,618654.8159703165,723352.371788794,-73.9267965,6.542965220000001
278,618735.0086816163,723352.5430269495,-73.92607126,6.542965220000001
279,618815.2014115762,723352.7143808514,-73.92534602,6.54296522
280,618895.3941602078,723352.8858504997,-73.92462078,6.542965220000001
281,618975.5869275221,723353.0574358944,-73.92389554,6.542965219999999
282,619055.7797135358,723353.2291370359,-73.9231703,6.542965220000001
283,619135.972518256,723353.400953924,-73.92244506,6.542965219999999
284,619216.1653416981,723353.5728865593,-73.92171982,6.542965220000001
285,619296.3581838761,723353.7449349414,-73.92099458,6.542965219999999
286,619376.5510448014,723353.9170990709,-73.92026934,6.542965220000001
287,619456.7439244862,723354.0893789476,-73.9195441,6.542965220000001
288,619536.9368229421,723354.2617745717,-73.91881886,6.542965220000001
289,619617.1297401843,723354.4342859436,-73.91809362000001,6.542965220000001
290,619697.322676224,723354.6069130631,-73.91736838,6.542965219999999
291,619777.5156310726,723354.7796559307,-73.91664314,6.542965220000002
292,619857.7086047451,723354.952514546,-73.9159179,6.54296522
293,619937.9015972519,723355.1254889098,-73.91519266000002,6.542965220000001
294,620018.0946086092,723355.2985790217,-73.91446742,6.542965220000001
295,620098.2876388245,723355.4717848821,-73.91374218,6.542965220000001
296,620178.4806879129,723355.6451064909,-73.91301694,6.54296522
297,620258.67375589,723355.8185438487,-73.9122917,6.54296522
298,620338.8668427627,723355.9920969553,-73.91156646,6.542965220000001
299,620419.0599485477,723356.1657658108,-73.91084122,6.542965220000001
300,620499.2530732551,723356.3395504154,-73.91011598,6.542965220000001
301,620579.4462169,723356.5134507692,-73.90939074,6.542965219999999
302,620659.6393794939,723356.6874668727,-73.9086655,6.542965220000001
303,620739.8325610477,723356.8615987255,-73.90794026,6.542965220000001
304,620820.0257615785,723357.0358463281,-73.90721502,6.542965220000001
305,620900.2189810931,723357.2102096806,-73.90648978,6.542965220000001
